alert,cdi,code,detail,dmin,felt,gap,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
,,73347140,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347140&format=geojson,0.03001,,150.0,",nc73347140,",0.23,md,,nc,10.0,"11km ENE of Mammoth Lakes, CA",0.03,1,",nc,",reviewed,1582840476540,"M 0.2 - 11km ENE of Mammoth Lakes, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480,1582846894408,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347140
,,39085807,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085807&format=geojson,0.06038,,173.0,",ci39085807,",-0.29,ml,,ci,4.0,"21km ESE of Little Lake, CA",0.03,0,",ci,",reviewed,1582840302470,"M -0.3 - 21km ESE of Little Lake, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582909042587,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085807
,,73347135,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347135&format=geojson,0.01675,,94.0,",nc73347135,",0.66,md,,nc,15.0,"8km WNW of Cobb, CA",0.02,7,",nc,",automatic,1582840299000,"M 0.7 - 8km WNW of Cobb, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582841823968,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347135
,,73347130,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347130&format=geojson,0.009101,,85.0,",nc73347130,",0.71,md,,nc,8.0,"3km WNW of Anderson Springs, CA",0.02,8,",nc,",automatic,1582840101600,"M 0.7 - 3km WNW of Anderson Springs, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582841104506,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347130
,,70873404,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av70873404&format=geojson,0.07983,,164.0,",av70873404,",-0.64,ml,,av,5.0,"105km ESE of King Salmon, Alaska",0.08,0,",av,",reviewed,1582840010690,"M -0.6 - 105km ESE of King Salmon, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1582927657750,https://earthquake.usgs.gov/earthquakes/eventpage/av70873404
,,73347125,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347125&format=geojson,0.03249,,179.0,",nc73347125,",-0.03,md,,nc,8.0,"10km ENE of Mammoth Lakes, CA",0.05,0,",nc,",reviewed,1582839877150,"M -0.0 - 10km ENE of Mammoth Lakes, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,",-480,1582846773580,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347125
,,2020058047,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058047&format=geojson,0.1405,,249.0,",pr2020058047,",2.19,md,,pr,6.0,"15km SSE of Guanica, Puerto Rico",0.08,74,",pr,",reviewed,1582839819820,"M 2.2 - 15km SSE of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1582842125189,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058047
,,600089kh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600089kh&format=geojson,12.075,,196.0,",us600089kh,",4.7,mb,,us,,Southeast of Easter Island,0.86,340,",us,",reviewed,1582839690728,M 4.7 - Southeast of Easter Island,0,earthquake,",geoserve,origin,phase-data,",-420,1583645785040,https://earthquake.usgs.gov/earthquakes/eventpage/us600089kh
,,0202o9w87r,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o9w87r&format=geojson,,,,",ak0202o9w87r,",1.0,ml,,ak,,"74km NW of Fort Yukon, Alaska",0.36,15,",ak,",reviewed,1582839451176,"M 1.0 - 74km NW of Fort Yukon, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516620675,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o9w87r
,,0202o9vjyk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o9vjyk&format=geojson,,,,",ak0202o9vjyk,",1.0,ml,,ak,,"106km SSE of Kotzebue, Alaska",0.55,15,",ak,",reviewed,1582839256668,"M 1.0 - 106km SSE of Kotzebue, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516621367,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o9vjyk
,,0202o9viuj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o9viuj&format=geojson,,,,",ak0202o9viuj,",1.0,ml,,ak,,"77km NW of Fort Yukon, Alaska",0.35,15,",ak,",reviewed,1582839240006,"M 1.0 - 77km NW of Fort Yukon, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516620017,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o9viuj
,,39085775,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085775&format=geojson,0.0818,,26.0,",ci39085775,",1.81,ml,,ci,68.0,"4km ENE of Lake Arrowhead, CA",0.21,50,",ci,",reviewed,1582839005910,"M 1.8 - 4km ENE of Lake Arrowhead, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582839638570,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085775
,,73347115,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347115&format=geojson,0.00631,,118.0,",nc73347115,",0.16,md,,nc,8.0,"1km WSW of Anderson Springs, CA",0.02,0,",nc,",automatic,1582838927700,"M 0.2 - 1km WSW of Anderson Springs, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582839303326,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347115
,,600089kg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600089kg&format=geojson,3.037,,99.0,",us600089kg,",4.9,mb,,us,,"178km S of Kute, Indonesia",0.72,369,",us,",reviewed,1582838887612,"M 4.9 - 178km S of Kute, Indonesia",0,earthquake,",geoserve,origin,phase-data,",480,1583645691040,https://earthquake.usgs.gov/earthquakes/eventpage/us600089kg
,,73347110,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347110&format=geojson,0.03875,,56.0,",nc73347110,",1.69,md,,nc,30.0,"3km E of Aromas, CA",0.14,44,",nc,",reviewed,1582838708080,"M 1.7 Quarry Blast - 3km E of Aromas, CA",0,quarry blast,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582865990372,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347110
,,2020058046,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058046&format=geojson,0.0805,,232.0,",pr2020058046,",2.68,md,,pr,6.0,"9km S of Indios, Puerto Rico",0.09,110,",pr,",reviewed,1582838662800,"M 2.7 - 9km S of Indios, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1582842043629,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058046
,,0202o9s3fj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o9s3fj&format=geojson,,,,",ak0202o9s3fj,",1.8,ml,,ak,,"64km W of Cantwell, Alaska",0.35,50,",ak,",reviewed,1582838281488,"M 1.8 - 64km W of Cantwell, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516619099,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o9s3fj
,,2020058044,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058044&format=geojson,0.0703,,227.0,",pr2020058044,us600085kb,",2.79,md,,pr,10.0,"15km S of Indios, Puerto Rico",0.13,120,",pr,us,",reviewed,1582838189610,"M 2.8 - 15km S of Indios, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1582839794040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058044
,,71403542,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71403542&format=geojson,0.03163,,147.0,",hv71403542,",2.15,md,,hv,39.0,"6km E of Pahala, Hawaii",0.15,71,",hv,",automatic,1582838174910,"M 2.2 - 6km E of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1582838371710,https://earthquake.usgs.gov/earthquakes/eventpage/hv71403542
,,2020058045,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058045&format=geojson,0.0789,,225.0,",pr2020058045,",1.93,md,,pr,5.0,"5km SW of Guanica, Puerto Rico",0.06,57,",pr,",reviewed,1582837956510,"M 1.9 - 5km SW of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1582840548589,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058045
,,70873399,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av70873399&format=geojson,0.04512,,146.0,",av70873399,",-0.62,ml,,av,5.0,"109km NNW of Larsen Bay, Alaska",0.18,0,",av,",reviewed,1582837861820,"M -0.6 - 109km NNW of Larsen Bay, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1582927415450,https://earthquake.usgs.gov/earthquakes/eventpage/av70873399
,,60008b87,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60008b87&format=geojson,1.054,,208.0,",ak0202o9qhn4,us60008b87,",3.0,ml,,us,,"137km ESE of Nikolski, Alaska",0.37,138,",ak,us,",reviewed,1582837843353,"M 3.0 - 137km ESE of Nikolski, Alaska",0,earthquake,",geoserve,origin,phase-data,",-660,1583730695040,https://earthquake.usgs.gov/earthquakes/eventpage/us60008b87
,,73347095,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347095&format=geojson,0.02251,,147.0,",nc73347095,",2.12,md,,nc,22.0,"3km W of Petrolia, CA",0.09,69,",nc,",reviewed,1582837818250,"M 2.1 - 3km W of Petrolia, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582864682981,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347095
,,73347085,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347085&format=geojson,0.06068,,67.0,",nc73347085,",2.09,md,,nc,52.0,"13km NW of Pinnacles, CA",0.07,67,",nc,",reviewed,1582837747400,"M 2.1 - 13km NW of Pinnacles, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582850583018,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347085
,,2020058043,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058043&format=geojson,0.1282,,210.0,",pr2020058043,",2.07,md,,pr,4.0,"4km SW of Tallaboa, Puerto Rico",0.06,66,",pr,",reviewed,1582837437250,"M 2.1 - 4km SW of Tallaboa, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1582839082420,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058043
,,61578282,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61578282&format=geojson,,,248.0,",uw61578282,",0.65,md,,uw,4.0,"6km NNW of Winston, Oregon",0.04,6,",uw,",reviewed,1582837014770,"M 0.7 Explosion - 6km NNW of Winston, Oregon",0,explosion,",geoserve,origin,phase-data,",-480,1582843412650,https://earthquake.usgs.gov/earthquakes/eventpage/uw61578282
,,62140841,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av62140841&format=geojson,0.03102,,233.0,",av62140841,",-0.66,ml,,av,5.0,"96km SE of King Salmon, Alaska",0.04,0,",av,",reviewed,1582836844820,"M -0.7 - 96km SE of King Salmon, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1582927142770,https://earthquake.usgs.gov/earthquakes/eventpage/av62140841
,,73347080,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347080&format=geojson,0.008353,,55.0,",nc73347080,",0.79,md,,nc,15.0,"6km W of Cobb, CA",0.03,10,",nc,",automatic,1582836277610,"M 0.8 - 6km W of Cobb, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582838703268,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347080
,,61578272,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61578272&format=geojson,,,160.0,",uw61578272,",1.46,ml,,uw,20.0,"11km NE of Vernonia, Oregon",0.2,33,",uw,",reviewed,1582835987310,"M 1.5 Explosion - 11km NE of Vernonia, Oregon",0,explosion,",geoserve,origin,phase-data,",-480,1582843215740,https://earthquake.usgs.gov/earthquakes/eventpage/uw61578272
,,39085751,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085751&format=geojson,0.02813,,55.0,",ci39085751,",0.76,ml,,ci,23.0,"4km ESE of Lake Henshaw, CA",0.25,9,",ci,",automatic,1582835961220,"M 0.8 - 4km ESE of Lake Henshaw, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582836187684,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085751
,,71403487,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71403487&format=geojson,0.02942,,131.0,",hv71403487,",2.46,ml,,hv,50.0,"6km ENE of Pahala, Hawaii",0.12,93,",hv,",automatic,1582835759490,"M 2.5 - 6km ENE of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1582836094630,https://earthquake.usgs.gov/earthquakes/eventpage/hv71403487
,,0202o9a6aq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o9a6aq&format=geojson,,,,",ak0202o9a6aq,",1.4,ml,,ak,,"58km WSW of Valdez, Alaska",0.68,30,",ak,",reviewed,1582835683090,"M 1.4 - 58km WSW of Valdez, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516617674,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o9a6aq
,,2020058042,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058042&format=geojson,0.0844,,230.0,",pr2020058042,",2.47,md,,pr,5.0,"6km SW of Guanica, Puerto Rico",0.12,94,",pr,",reviewed,1582835101880,"M 2.5 - 6km SW of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1582837686835,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058042
,,71403467,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71403467&format=geojson,0.04974,,132.0,",hv71403467,",2.17,md,,hv,44.0,"4km E of Pahala, Hawaii",0.11,72,",hv,",automatic,1582834773990,"M 2.2 - 4km E of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1582834954640,https://earthquake.usgs.gov/earthquakes/eventpage/hv71403467
,,73347070,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347070&format=geojson,0.01275,,47.0,",nc73347070,",1.19,md,,nc,23.0,"2km NNE of The Geysers, CA",0.03,22,",nc,",automatic,1582834657640,"M 1.2 - 2km NNE of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582842182618,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347070
,,73347065,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347065&format=geojson,0.004365,,69.0,",nc73347065,",0.75,md,,nc,12.0,"6km WNW of Cobb, CA",0.02,9,",nc,",automatic,1582834608770,"M 0.8 - 6km WNW of Cobb, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582836543043,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347065
,,2020ebru,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2020ebru&format=geojson,0.4256164795,,211.0,",ok2020ebru,",1.82,ml,,ok,36.0,"20km SW of Atoka, Oklahoma",0.88,51,",ok,",reviewed,1582834569289,"M 1.8 - 20km SW of Atoka, Oklahoma",0,earthquake,",geoserve,origin,phase-data,",-360,1582835445783,https://earthquake.usgs.gov/earthquakes/eventpage/ok2020ebru
,,0202o95m5v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o95m5v&format=geojson,,,,",ak0202o95m5v,",1.1,ml,,ak,,"60km S of Shishmaref, Alaska",0.6,19,",ak,",reviewed,1582834394676,"M 1.1 - 60km S of Shishmaref, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516616943,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o95m5v
,,0202o95gey,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o95gey&format=geojson,,,,",ak0202o95gey,",1.7,ml,,ak,,"47km SSW of Redoubt Volcano, Alaska",0.48,44,",ak,",reviewed,1582834359338,"M 1.7 - 47km SSW of Redoubt Volcano, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516616177,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o95gey
,,39085735,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085735&format=geojson,0.04054,,100.0,",ci39085735,",1.69,ml,,ci,25.0,"19km S of Trona, CA",0.17,44,",ci,",automatic,1582834215520,"M 1.7 - 19km S of Trona, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582834445010,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085735
,,2020058041,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058041&format=geojson,0.0905,,233.0,",pr2020058041,",2.46,md,,pr,6.0,"7km SSW of Guanica, Puerto Rico",0.07,93,",pr,",reviewed,1582833989900,"M 2.5 - 7km SSW of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1582835846339,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058041
,,0202o93fxv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o93fxv&format=geojson,,,,",ak0202o93fxv,",1.6,ml,,ak,,"84km E of Old Iliamna, Alaska",0.43,39,",ak,",reviewed,1582833772328,"M 1.6 - 84km E of Old Iliamna, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516615432,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o93fxv
,,00717975,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00717975&format=geojson,0.069,,77.41,",nn00717975,",1.4,ml,,nn,12.0,"5km SW of Cold Springs, Nevada",0.1161,30,",nn,",reviewed,1582833739035,"M 1.4 - 5km SW of Cold Springs, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480,1582855824543,https://earthquake.usgs.gov/earthquakes/eventpage/nn00717975
,,70873389,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av70873389&format=geojson,0.06262,,223.0,",av70873389,",-0.51,ml,,av,6.0,"100km NW of Larsen Bay, Alaska",0.14,0,",av,",reviewed,1582833567450,"M -0.5 - 100km NW of Larsen Bay, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1582926509380,https://earthquake.usgs.gov/earthquakes/eventpage/av70873389
,,39085719,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085719&format=geojson,0.0985,,40.0,",ci39085719,",0.77,ml,,ci,27.0,"9km NE of Aguanga, CA",0.2,9,",ci,",automatic,1582833492540,"M 0.8 - 9km NE of Aguanga, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582833720888,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085719
,,70873384,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av70873384&format=geojson,0.03954,,195.0,",av70873384,",-0.28,ml,,av,9.0,"103km NW of Larsen Bay, Alaska",0.1,0,",av,",reviewed,1582833480330,"M -0.3 - 103km NW of Larsen Bay, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1582926265380,https://earthquake.usgs.gov/earthquakes/eventpage/av70873384
,,0202o8tp4a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o8tp4a&format=geojson,,,,",ak0202o8tp4a,",1.4,ml,,ak,,"139km NW of Talkeetna, Alaska",0.26,30,",ak,",reviewed,1582833474957,"M 1.4 - 139km NW of Talkeetna, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516614668,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o8tp4a
,,0202o8rak5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o8rak5&format=geojson,,,,",ak0202o8rak5,",0.6,ml,,ak,,"43km ENE of Adak, Alaska",0.47,6,",ak,",reviewed,1582832791883,"M 0.6 - 43km ENE of Adak, Alaska",0,earthquake,",geoserve,origin,phase-data,",-600,1583516614036,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o8rak5
,,0202o8qsoa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o8qsoa&format=geojson,,,,",ak0202o8qsoa,",1.8,ml,,ak,,"60km E of Akutan, Alaska",0.28,50,",ak,",reviewed,1582832639660,"M 1.8 - 60km E of Akutan, Alaska",0,earthquake,",geoserve,origin,phase-data,",-600,1583516613307,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o8qsoa
,,39085711,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085711&format=geojson,0.04323,,101.0,",ci39085711,",1.77,ml,,ci,36.0,"20km S of Trona, CA",0.19,48,",ci,",reviewed,1582832520130,"M 1.8 - 20km S of Trona, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582844344822,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085711
,,2020058040,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058040&format=geojson,0.0797,,232.0,",pr2020058040,",1.73,md,,pr,5.0,"9km S of Indios, Puerto Rico",0.07,46,",pr,",reviewed,1582832374560,"M 1.7 - 9km S of Indios, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1582834577978,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058040
,,00717929,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00717929&format=geojson,0.429,,211.28,",nn00717929,",0.2,ml,,nn,6.0,"47km SE of Goldfield, Nevada",0.1514,1,",nn,",reviewed,1582832078607,"M 0.2 - 47km SE of Goldfield, Nevada",0,earthquake,",geoserve,origin,phase-data,",-480,1582855789133,https://earthquake.usgs.gov/earthquakes/eventpage/nn00717929
,,73347040,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347040&format=geojson,0.008867,,69.0,",nc73347040,",0.57,md,,nc,13.0,"9km WNW of Cobb, CA",0.01,5,",nc,",automatic,1582831927450,"M 0.6 - 9km WNW of Cobb, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582833663732,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347040
,,39085703,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085703&format=geojson,0.02627,,54.0,",ci39085703,",2.04,ml,,ci,84.0,"4km SSE of Yorba Linda, CA",0.18,64,",ci,",reviewed,1582831689650,"M 2.0 - 4km SSE of Yorba Linda, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582903477840,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085703
,,2020058039,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058039&format=geojson,0.0666,,197.0,",pr2020058039,us600085gh,",2.37,md,,pr,10.0,"3km SSE of Indios, Puerto Rico",0.27,86,",pr,us,",reviewed,1582831481420,"M 2.4 - 3km SSE of Indios, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583430693040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058039
,,39085695,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085695&format=geojson,0.03465,,59.0,",ci39085695,",1.48,ml,,ci,31.0,"6km ENE of Villa Park, CA",0.22,34,",ci,",automatic,1582831467790,"M 1.5 - 6km ENE of Villa Park, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582831698616,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085695
,2.2,600085gn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600085gn&format=geojson,1.422,1.0,54.0,",us600085gn,",5.0,mb,,us,,"148km ENE of Bitung, Indonesia",0.91,385,",us,",reviewed,1582831259579,"M 5.0 - 148km ENE of Bitung, Indonesia",0,earthquake,",dyfi,geoserve,origin,phase-data,",480,1583430846539,https://earthquake.usgs.gov/earthquakes/eventpage/us600085gn
,,73347035,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73347035&format=geojson,0.003385,,71.0,",nc73347035,",0.56,md,,nc,16.0,"7km NW of The Geysers, CA",0.01,5,",nc,",automatic,1582831163240,"M 0.6 - 7km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582832942643,https://earthquake.usgs.gov/earthquakes/eventpage/nc73347035
,2.2,2020058038,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020058038&format=geojson,0.0439,1.0,216.0,",pr2020058038,",2.48,md,,pr,5.0,"2km SSW of Guanica, Puerto Rico",0.26,95,",pr,",reviewed,1582831106130,"M 2.5 - 2km SSW of Guanica, Puerto Rico",0,earthquake,",dyfi,geoserve,origin,phase-data,",-240,1582834889431,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020058038
,,37435349,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37435349&format=geojson,0.0649,,124.0,",ci37435349,",0.03,ml,,ci,5.0,"24km ESE of Little Lake, CA",0.15,0,",ci,",reviewed,1582831020170,"M 0.0 - 24km ESE of Little Lake, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582841774562,https://earthquake.usgs.gov/earthquakes/eventpage/ci37435349
,,39085679,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39085679&format=geojson,0.03209,,118.0,",ci39085679,",0.36,ml,,ci,9.0,"17km SSW of Searles Valley, CA",0.15,2,",ci,",reviewed,1582831004290,"M 0.4 - 17km SSW of Searles Valley, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1582841563026,https://earthquake.usgs.gov/earthquakes/eventpage/ci39085679
green,4.6,600085g3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us600085g3&format=geojson,3.241,1.0,32.0,",us600085g3,",5.5,mww,3.865,us,,"179km S of Sarangani, Philippines",1.36,466,",us,",reviewed,1582830782846,"M 5.5 - 179km S of Sarangani, Philippines",1,earthquake,",dyfi,geoserve,losspager,moment-tensor,origin,phase-data,shakemap,",480,1583430811470,https://earthquake.usgs.gov/earthquakes/eventpage/us600085g3
,,0202o8jt6a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o8jt6a&format=geojson,,,,",ak0202o8jt6a,",1.0,ml,,ak,,"67km SSW of Kobuk, Alaska",0.27,15,",ak,",reviewed,1582830702807,"M 1.0 - 67km SSW of Kobuk, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516612600,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o8jt6a
,,0202o8ifsj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0202o8ifsj&format=geojson,,,,",ak0202o8ifsj,",1.3,ml,,ak,,"90km WSW of Cantwell, Alaska",0.27,26,",ak,",reviewed,1582830300559,"M 1.3 - 90km WSW of Cantwell, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583516611831,https://earthquake.usgs.gov/earthquakes/eventpage/ak0202o8ifsj
